,Cash,Portfolio_value,AAPL,JNJ,SPY,Daily_Return,Rolling_Max,Drawdown
2020-06-29,9754.629440307617,10631.97021484375,10.0,0.0,0.0,0.0018624074747175534,10736.494064331055,-0.009735379990993095
2020-06-30,9754.629440307617,10639.293899536133,10.0,0.0,0.0,0.0006888360806502902,10736.494064331055,-0.009053249991339515
2020-07-01,9754.629440307617,10637.620544433594,10.0,0.0,0.0,-0.0001572806539926752,10736.494064331055,-0.009209106744252769
2020-07-02,9754.629440307617,10637.620544433594,10.0,0.0,0.0,0.0,10736.494064331055,-0.009209106744252769
2020-07-06,6819.354782104492,10661.240692138672,10.0,0.0,10.0,0.0022204352567771757,10736.494064331055,-0.007009119712773904
2020-07-07,6819.354782104492,10628.152770996094,10.0,0.0,10.0,-0.003103571347655265,10736.494064331055,-0.010090937757316334
2020-07-08,5593.099365234375,10671.422729492188,10.0,10.0,10.0,0.004071258611767048,10736.494064331055,-0.006060761962794556
2020-07-09,5593.099365234375,10652.058486938477,10.0,10.0,10.0,-0.0018145886490087415,10736.494064331055,-0.007864352821941317
2020-07-10,5593.099365234375,10682.375793457031,10.0,10.0,10.0,0.0028461453301003026,10736.494064331055,-0.0050405905828994945
2020-07-13,5593.099365234375,10676.931533813477,10.0,10.0,10.0,-0.0005096487662312743,10736.494064331055,-0.005547670418359163
2020-07-14,5593.099365234375,10753.226089477539,10.0,10.0,10.0,0.00714573802617724,10753.226089477539,0.0
2020-07-15,5593.099365234375,10789.737014770508,10.0,10.0,10.0,0.003395346195566029,10789.737014770508,0.0
2020-07-16,5593.099365234375,10776.731796264648,10.0,10.0,10.0,-0.0012053322975393854,10789.737014770508,-0.0012053322975394123
2020-07-17,5593.099365234375,10784.306259155273,10.0,10.0,10.0,0.0007028534284625465,10789.737014770508,-0.0005033260410147155
2020-07-20,5593.099365234375,10830.208740234375,10.0,10.0,10.0,0.004256414828736288,10830.208740234375,0.0
